date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:12	15386/15386	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Mar%202018%2018:25:14%20GMT	http://wowthemez.com/templates/thinny/index.html	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/index.html	(from )
14:37:13	76/76	---MCZ	200	added ('OK')	text/plain	date:Fri,%2030%20Mar%202018%2009:07:12%20GMT	http://wowthemez.com/robots.txt		(from )
14:37:13	3069/3069	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Mar%202018%2018:27:19%20GMT	http://wowthemez.com/templates/thinny/img/favicon.png	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/img/favicon.png	(from http://wowthemez.com/templates/thinny/index.html)
14:37:14	31000/31000	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:33%20GMT	http://wowthemez.com/templates/thinny/css/font-awesome.min.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/font-awesome.min.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:14	25252/25252	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:26%20GMT	http://wowthemez.com/templates/thinny/css/elegant-font-icons.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/elegant-font-icons.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:15	7067/7067	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:30%20GMT	http://wowthemez.com/templates/thinny/css/elegant-line-icons.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/elegant-line-icons.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:15	113498/113498	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:24%20GMT	http://wowthemez.com/templates/thinny/css/bootstrap.min.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/bootstrap.min.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:16	79167/79167	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:20%20GMT	http://wowthemez.com/templates/thinny/css/animate.min.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/animate.min.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:16	7604/7604	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:26:12%20GMT	http://wowthemez.com/templates/thinny/css/venobox/venobox.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/venobox/venobox.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:17	4614/4614	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:40%20GMT	http://wowthemez.com/templates/thinny/css/owl.carousel.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/owl.carousel.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:17	10936/10936	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:35%20GMT	http://wowthemez.com/templates/thinny/css/main.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/main.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:18	6135/6135	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:38%20GMT	http://wowthemez.com/templates/thinny/css/menu.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/menu.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:18	2061/2061	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Mar%202018%2018:25:44%20GMT	http://wowthemez.com/templates/thinny/css/responsive.css	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/css/responsive.css	(from http://wowthemez.com/templates/thinny/index.html)
14:37:18	20106/20106	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2016%20Mar%202018%2018:28:44%20GMT	http://wowthemez.com/templates/thinny/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	(from http://wowthemez.com/templates/thinny/index.html)
14:37:19	1510/1510	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Mar%202018%2018:27:50%20GMT	http://wowthemez.com/templates/thinny/img/three-dots.svg	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/img/three-dots.svg	(from http://wowthemez.com/templates/thinny/index.html)
14:37:19	1559/1559	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Mar%202018%2018:27:43%20GMT	http://wowthemez.com/templates/thinny/img/logo-dark.png	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/img/logo-dark.png	(from http://wowthemez.com/templates/thinny/index.html)
14:37:19	1948/1948	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Mar%202018%2018:27:26%20GMT	http://wowthemez.com/templates/thinny/img/icon-1.png	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/img/icon-1.png	(from http://wowthemez.com/templates/thinny/index.html)
14:37:20	1801/1801	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Mar%202018%2018:27:29%20GMT	http://wowthemez.com/templates/thinny/img/icon-2.png	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/img/icon-2.png	(from http://wowthemez.com/templates/thinny/index.html)
14:37:20	2649/2649	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Mar%202018%2018:27:33%20GMT	http://wowthemez.com/templates/thinny/img/icon-3.png	F:/TAPAS-ALL/MOCKUP%20+%20HTML%20+%20CSS%20+%20CSS3/HTML/WEBSITE%20TEMPLATES/Thinny%20(Portfolio)/portfolio/wowthemez.com/templates/thinny/img/icon-3.png	(from http://wowthemez.com/templates/thinny/index.html)
